gw,deadline_utc,deadline_uk,first_kickoff_utc,first_kickoff_uk,first_fixture,ko_minus_deadline_min,invariant_90_ok,finished,is_current,is_next
1,2026-08-21T17:30:00Z,Fri 21 Aug 18:30 BST,2026-08-21T19:00:00Z,Fri 21 Aug 20:00 BST,ARS v COV,90,yes,true,false,false
2,2026-08-28T17:30:00Z,Fri 28 Aug 18:30 BST,2026-08-28T19:00:00Z,Fri 28 Aug 20:00 BST,CRY v MCI,90,yes,true,false,false
3,2026-09-04T17:30:00Z,Fri 04 Sep 18:30 BST,2026-09-04T19:00:00Z,Fri 04 Sep 20:00 BST,IPS v LIV,90,yes,true,false,false
4,2026-09-12T12:30:00Z,Sat 12 Sep 13:30 BST,2026-09-12T14:00:00Z,Sat 12 Sep 15:00 BST,AVL v NFO,90,yes,true,false,false
5,2026-09-18T17:30:00Z,Fri 18 Sep 18:30 BST,2026-09-18T19:00:00Z,Fri 18 Sep 20:00 BST,BRE v CHE,90,yes,true,true,false
6,2026-10-10T10:00:00Z,Sat 10 Oct 11:00 BST,2026-10-10T11:30:00Z,Sat 10 Oct 12:30 BST,ARS v LEE,90,yes,false,false,true
7,2026-10-17T10:00:00Z,Sat 17 Oct 11:00 BST,2026-10-17T11:30:00Z,Sat 17 Oct 12:30 BST,EVE v CHE,90,yes,false,false,false
8,2026-10-23T17:30:00Z,Fri 23 Oct 18:30 BST,2026-10-23T19:00:00Z,Fri 23 Oct 20:00 BST,IPS v NFO,90,yes,false,false,false
9,2026-10-31T11:00:00Z,Sat 31 Oct 11:00 GMT,2026-10-31T12:30:00Z,Sat 31 Oct 12:30 GMT,CHE v MUN,90,yes,false,false,false
10,2026-11-06T18:30:00Z,Fri 06 Nov 18:30 GMT,2026-11-06T20:00:00Z,Fri 06 Nov 20:00 GMT,EVE v COV,90,yes,false,false,false
11,2026-11-21T11:00:00Z,Sat 21 Nov 11:00 GMT,2026-11-21T12:30:00Z,Sat 21 Nov 12:30 GMT,MCI v FUL,90,yes,false,false,false
12,2026-11-27T18:30:00Z,Fri 27 Nov 18:30 GMT,2026-11-27T20:00:00Z,Fri 27 Nov 20:00 GMT,NFO v CHE,90,yes,false,false,false
13,2026-12-02T18:30:00Z,Wed 02 Dec 18:30 GMT,2026-12-02T20:00:00Z,Wed 02 Dec 20:00 GMT,AVL v EVE,90,yes,false,false,false
14,2026-12-05T13:30:00Z,Sat 05 Dec 13:30 GMT,2026-12-05T15:00:00Z,Sat 05 Dec 15:00 GMT,AVL v CRY,90,yes,false,false,false
15,2026-12-12T13:30:00Z,Sat 12 Dec 13:30 GMT,2026-12-12T15:00:00Z,Sat 12 Dec 15:00 GMT,ARS v BOU,90,yes,false,false,false
16,2026-12-19T13:30:00Z,Sat 19 Dec 13:30 GMT,2026-12-19T15:00:00Z,Sat 19 Dec 15:00 GMT,ARS v MUN,90,yes,false,false,false
17,2026-12-26T11:00:00Z,Sat 26 Dec 11:00 GMT,2026-12-26T12:30:00Z,Sat 26 Dec 12:30 GMT,AVL v LEE,90,yes,false,false,false
