batch_utc,batch_uk,limb,reading_utc,movers,predicted,hits,false_alarms,misses
2026-09-17T23:35:33Z,Fri 18 Sep 00:35 BST,same_night,2026-09-17T21:46:08Z,17,17,17,0,0
2026-09-17T23:35:33Z,Fri 18 Sep 00:35 BST,progress,2026-09-17T21:46:08Z,17,15,15,0,2
2026-09-17T23:35:33Z,Fri 18 Sep 00:35 BST,proj_0,2026-09-17T21:46:08Z,17,17,17,0,0
2026-09-18T23:25:24Z,Sat 19 Sep 00:25 BST,same_night,2026-09-18T21:16:01Z,36,37,36,1,0
2026-09-18T23:25:24Z,Sat 19 Sep 00:25 BST,progress,2026-09-18T21:16:01Z,36,36,36,0,0
2026-09-18T23:25:24Z,Sat 19 Sep 00:25 BST,proj_0,2026-09-18T21:16:01Z,36,37,36,1,0
2026-09-18T23:25:24Z,Sat 19 Sep 00:25 BST,proj_1,2026-09-17T23:35:33Z,36,24,24,0,12
2026-09-19T23:17:07Z,Sun 20 Sep 00:17 BST,same_night,2026-09-19T21:02:07Z,15,15,15,0,0
2026-09-19T23:17:07Z,Sun 20 Sep 00:17 BST,progress,2026-09-19T21:02:07Z,15,15,15,0,0
2026-09-19T23:17:07Z,Sun 20 Sep 00:17 BST,proj_0,2026-09-19T21:02:07Z,15,14,14,0,1
2026-09-19T23:17:07Z,Sun 20 Sep 00:17 BST,proj_1,2026-09-18T23:25:24Z,15,7,5,2,10
2026-09-19T23:17:07Z,Sun 20 Sep 00:17 BST,proj_2,2026-09-17T23:35:33Z,15,36,2,34,13
2026-09-20T23:20:16Z,Mon 21 Sep 00:20 BST,same_night,2026-09-20T21:03:46Z,13,15,13,2,0
2026-09-20T23:20:16Z,Mon 21 Sep 00:20 BST,progress,2026-09-20T21:03:46Z,13,11,11,0,2
2026-09-20T23:20:16Z,Mon 21 Sep 00:20 BST,proj_0,2026-09-20T21:03:46Z,13,14,12,2,1
2026-09-20T23:20:16Z,Mon 21 Sep 00:20 BST,proj_1,2026-09-19T23:17:07Z,13,10,8,2,5
2026-09-20T23:20:16Z,Mon 21 Sep 00:20 BST,proj_2,2026-09-18T23:25:24Z,13,14,1,13,12
2026-09-22T00:12:12Z,Tue 22 Sep 01:12 BST,same_night,2026-09-21T22:14:43Z,15,15,15,0,0
2026-09-22T00:12:12Z,Tue 22 Sep 01:12 BST,progress,2026-09-21T22:14:43Z,15,15,15,0,0
2026-09-22T00:12:12Z,Tue 22 Sep 01:12 BST,proj_0,2026-09-21T22:14:43Z,15,15,15,0,0
2026-09-22T00:12:12Z,Tue 22 Sep 01:12 BST,proj_1,2026-09-20T23:20:16Z,15,20,13,7,2
2026-09-22T00:12:12Z,Tue 22 Sep 01:12 BST,proj_2,2026-09-19T23:17:07Z,15,13,1,12,14
2026-09-22T23:40:48Z,Wed 23 Sep 00:40 BST,same_night,2026-09-22T21:39:58Z,5,5,5,0,0
2026-09-22T23:40:48Z,Wed 23 Sep 00:40 BST,progress,2026-09-22T21:39:58Z,5,5,5,0,0
2026-09-22T23:40:48Z,Wed 23 Sep 00:40 BST,proj_0,2026-09-22T21:39:58Z,5,5,5,0,0
2026-09-22T23:40:48Z,Wed 23 Sep 00:40 BST,proj_1,2026-09-22T00:12:12Z,5,3,2,1,3
2026-09-22T23:40:48Z,Wed 23 Sep 00:40 BST,proj_2,2026-09-20T23:20:16Z,5,30,5,25,0
2026-09-23T23:49:04Z,Thu 24 Sep 00:49 BST,same_night,2026-09-23T21:47:49Z,1,1,1,0,0
2026-09-23T23:49:04Z,Thu 24 Sep 00:49 BST,progress,2026-09-23T21:47:49Z,1,1,1,0,0
2026-09-23T23:49:04Z,Thu 24 Sep 00:49 BST,proj_0,2026-09-23T21:47:49Z,1,1,1,0,0
2026-09-23T23:49:04Z,Thu 24 Sep 00:49 BST,proj_1,2026-09-22T23:40:48Z,1,2,0,2,1
2026-09-23T23:49:04Z,Thu 24 Sep 00:49 BST,proj_2,2026-09-22T00:12:12Z,1,5,0,5,1
2026-09-24T23:56:02Z,Fri 25 Sep 00:56 BST,same_night,2026-09-24T21:49:59Z,2,2,2,0,0
2026-09-24T23:56:02Z,Fri 25 Sep 00:56 BST,progress,2026-09-24T21:49:59Z,2,2,2,0,0
2026-09-24T23:56:02Z,Fri 25 Sep 00:56 BST,proj_0,2026-09-24T21:49:59Z,2,2,2,0,0
2026-09-24T23:56:02Z,Fri 25 Sep 00:56 BST,proj_1,2026-09-23T23:49:04Z,2,3,1,2,1
2026-09-24T23:56:02Z,Fri 25 Sep 00:56 BST,proj_2,2026-09-22T23:40:48Z,2,5,2,3,0
2026-09-25T23:59:17Z,Sat 26 Sep 00:59 BST,same_night,2026-09-25T21:50:20Z,4,4,4,0,0
2026-09-25T23:59:17Z,Sat 26 Sep 00:59 BST,progress,2026-09-25T21:50:20Z,4,3,3,0,1
2026-09-25T23:59:17Z,Sat 26 Sep 00:59 BST,proj_0,2026-09-25T21:50:20Z,4,4,4,0,0
2026-09-25T23:59:17Z,Sat 26 Sep 00:59 BST,proj_1,2026-09-24T23:56:02Z,4,2,2,0,2
2026-09-25T23:59:17Z,Sat 26 Sep 00:59 BST,proj_2,2026-09-23T23:49:04Z,4,4,1,3,3
