element_id,web_name,team,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,total_points,minutes,starts
1,"Raya","ARS",1,60,"39.1",215099,186028,15,270,3
2,"Arrizabalaga","ARS",1,49,"0.1",263,777,0,0,0
3,"Meslier","ARS",1,49,"0.0",103,286,0,0,0
4,"Gabriel","ARS",2,80,"24.1",48367,219414,15,270,3
5,"J.Timber","ARS",2,65,"0.1",585,1285,0,0,0
6,"Saliba","ARS",2,59,"0.2",709,3082,0,0,0
7,"Lewis-Skelly","ARS",3,55,"0.7",6314,9725,8,226,3
8,"Calafiori","ARS",2,58,"49.0",425337,80709,22,236,3
9,"Hincapie","ARS",2,53,"1.0",3508,17236,2,32,0
10,"White","ARS",2,55,"7.6",106899,102702,20,270,3
11,"Mosquera","ARS",2,54,"2.7",699,170194,12,168,2
12,"Saka","ARS",3,95,"11.6",180653,128041,22,246,3
13,"Rice","ARS",3,74,"13.1",23377,132638,13,241,3
14,"Eze","ARS",3,63,"1.2",3581,26684,2,59,0
15,"Ødegaard","ARS",3,67,"17.6",673122,99680,24,221,3
16,"Madueke","ARS",3,63,"0.2",1347,4014,2,23,0
17,"Merino","ARS",3,58,"0.4",1779,9106,2,46,0
18,"Martinelli","ARS",3,63,"0.1",0,5859,0,0,0
19,"Zubimendi","ARS",3,54,"0.7",1407,11413,3,50,0
20,"Dowman","ARS",3,53,"0.1",578,1227,0,0,0
22,"Nwaneri","ARS",3,54,"0.0",0,314,0,0,0
23,"Fábio Vieira","ARS",3,55,"0.0",0,249,0,0,0
24,"Nelson","ARS",3,55,"0.0",0,100,0,0,0
25,"Gyökeres","ARS",4,72,"3.8",5704,85464,1,12,0
26,"Havertz","ARS",4,75,"8.0",170484,67186,16,257,3
27,"G.Jesus","ARS",4,59,"0.2",0,7326,0,0,0
31,"Konsa","ARS",2,45,"16.2",586721,84882,5,101,1
452,"Bruno G.","ARS",3,68,"1.7",2115,34091,1,19,0
557,"Tzolis","ARS",3,64,"16.1",70896,349048,11,210,3
29,"M.Bizot","AVL",1,45,"0.1",923,1454,1,90,1
30,"Digne","AVL",2,45,"0.1",0,861,0,0,0
32,"Cash","AVL",2,45,"6.2",18387,78499,7,251,3
33,"Mings","AVL",2,45,"0.4",4345,2173,7,106,1
34,"Pau","AVL",2,45,"0.4",3070,4885,2,163,2
35,"Bogarde","AVL",3,50,"0.1",632,1011,1,16,0
36,"Maatsen","AVL",2,45,"0.8",13749,5860,8,245,3
37,"Lindelöf","AVL",2,45,"0.3",4054,1851,6,270,3
38,"A.García","AVL",2,40,"1.7",11336,15419,0,0,0
39,"Nedeljkovic","AVL",2,40,"0.1",0,1987,0,0,0
41,"Buendía","AVL",3,59,"1.0",12620,18989,7,249,3
44,"Bailey","AVL",3,54,"0.1",0,4385,0,0,0
45,"McGinn","AVL",3,54,"2.3",16708,28857,5,261,3
46,"Barkley","AVL",3,50,"0.3",4528,3264,7,240,3
47,"Kamara","AVL",3,50,"0.3",3246,4150,7,270,3
48,"Onana","AVL",3,50,"0.0",97,245,0,0,0
49,"Iling Jr","AVL",3,50,"0.0",0,21,0,0,0
50,"Burrowes","AVL",3,45,"0.7",6281,7712,0,0,0
51,"George Hemmings","AVL",3,45,"1.3",46153,19816,7,234,3
52,"Alysson","AVL",3,50,"0.0",455,641,2,42,0
53,"Manzambi","AVL",3,59,"0.1",482,1660,0,0,0
54,"Gomes","AVL",3,55,"0.0",117,472,-2,39,1
55,"Watkins","AVL",4,78,"3.1",0,115317,0,0,0
56,"Abraham","AVL",4,55,"0.2",3802,2515,2,24,0
160,"Garnacho","AVL",3,59,"0.4",1406,7783,3,31,0
166,"N.Jackson","AVL",4,65,"1.3",38346,16013,4,154,2
582,"Madjo","AVL",4,55,"0.3",337,5074,0,0,0
596,"Ruggeri","AVL",2,45,"0.1",239,1090,2,23,0
597,"Suzuki","AVL",1,50,"1.8",71349,15957,12,180,2
606,"Rowe","AVL",2,40,"0.2",2613,1616,0,0,0
607,"Lynch","AVL",3,45,"0.1",0,2782,0,0,0
611,"Wan-Bissaka","AVL",2,45,"0.2",3380,1982,2,17,0
618,"Goretzka","AVL",3,60,"0.0",886,1915,0,0,0
630,"Harwood-Bellis","AVL",2,45,"0.0",584,241,0,0,0
631,"Mbaye","AVL",3,60,"0.1",2560,1380,0,0,0
57,"Petrović","BOU",1,45,"3.3",23925,32050,6,270,3
58,"Forster","BOU",1,40,"3.6",34002,17982,0,0,0
59,"Dennis","BOU",1,40,"0.1",0,1449,0,0,0
60,"Hill","BOU",2,55,"0.8",6734,9156,6,270,3
61,"Truffert","BOU",2,55,"3.4",10471,40472,5,270,3
62,"Diakité","BOU",2,50,"0.2",1154,2414,0,0,0
63,"Milosavljević","BOU",2,50,"0.0",63,151,0,0,0
64,"Smith","BOU",2,45,"0.1",1279,1551,2,270,3
65,"J.Araujo","BOU",2,44,"0.0",90,209,0,0,0
66,"Soler","BOU",2,40,"0.3",3686,2442,0,0,0
67,"Rayan","BOU",3,64,"1.9",7192,36825,6,266,3
68,"Tavernier","BOU",3,60,"3.7",149756,44092,21,268,3
69,"Scott","BOU",3,61,"5.7",337738,50847,24,266,3
70,"Kluivert","BOU",3,60,"1.0",7281,18126,7,229,3
71,"Cook","BOU",3,50,"0.2",1931,3062,7,157,2
72,"Gannon-Doak","BOU",3,49,"0.1",363,928,2,2,0
73,"Adams","BOU",3,50,"0.3",5037,3226,6,111,1
74,"Brooks","BOU",3,50,"0.1",673,748,2,23,0
75,"Christie","BOU",3,50,"0.0",948,493,2,4,0
76,"Tóth.A","BOU",3,50,"0.0",63,183,1,15,0
77,"Adli","BOU",3,49,"0.0",46,297,0,0,0
78,"Kroupi.Jr","BOU",3,74,"0.2",182,3052,0,0,0
79,"Evanilson","BOU",4,60,"3.3",41991,39572,11,244,3
80,"Enes Ünal","BOU",4,55,"0.0",0,206,0,0,0
81,"Rodríguez","BOU",4,60,"0.1",1137,1520,1,9,0
566,"Silva","BOU",2,50,"0.4",4619,5207,7,270,3
573,"Sanchez","BOU",2,45,"0.2",245,1420,0,0,0
608,"Jebbison","BOU",4,50,"0.1",3013,1687,2,16,0
